Type;MatrixSize;ThreadsCount;Time;
SingleThread;1000;1;5.61294;
SingleThread;2000;1;42.4105;
SingleThread;4000;1;341.864;
SingleThread;8000;1;2770.04;
POSIX;1000;2;3.75756;
POSIX;1000;4;2.92945;
POSIX;1000;8;2.93683;
POSIX;1000;16;3.31525;
POSIX;1000;32;2.90314;
POSIX;2000;2;29.5;
POSIX;2000;4;23.3753;
POSIX;2000;8;23.3204;
POSIX;2000;16;23.3659;
POSIX;2000;32;23.0583;
POSIX;4000;2;227.539;
POSIX;4000;4;196.718;
POSIX;4000;8;190.4;
POSIX;4000;16;188.443;
POSIX;4000;32;189.966;
POSIX;8000;2;1885.25;
POSIX;8000;4;1726.76;
POSIX;8000;8;1598.14;
POSIX;8000;16;1661.01;
POSIX;8000;32;1625.23;
OMP;1000;2;3.48786;
OMP;1000;4;2.91326;
OMP;1000;8;2.96536;
OMP;1000;16;2.94727;
OMP;1000;32;2.96243;
OMP;2000;2;28.1779;
OMP;2000;4;23.1205;
OMP;2000;8;23.4154;
OMP;2000;16;23.4876;
OMP;2000;32;23.5746;
OMP;4000;2;226.879;
OMP;4000;4;187.759;
OMP;4000;8;190.337;
OMP;4000;16;191.375;
OMP;4000;32;205.797;
OMP;8000;2;2004.23;
OMP;8000;4;1504.66;
OMP;8000;8;1566.87;
OMP;8000;16;1669.8;
OMP;8000;32;1681.51;

